scene_number,path,rotationSpeed,stop_angle,pause_time,volume_start,volume_poured,volume_received,spilled_volume
1,../../output/CellFlask/Flask_50_600_24,0.030000,24.000000,0.600000,48.177500,32.407501,32.237499,0.170000
1,../../output/CellFlask/Flask_50_600_24,0.030000,24.000000,0.600000,48.177500,32.407501,32.237499,0.170000
1,../../output/CellFlask/Flask_20_600_40,0.030000,40.000000,0.600000,19.572500,17.500000,17.302500,0.197500
1,../../output/CellFlask/Flask_34_600_18,0.030000,18.000000,0.600000,32.997500,8.727500,8.660000,0.067500
1,../../output/CellFlask/Flask_20_600_18,0.030000,18.000000,0.600000,19.572500,3.987500,3.915000,0.072500
1,../../output/CellFlask/Flask_20_600_40,0.030000,40.000000,0.600000,19.572500,17.500000,17.302500,0.197500
1,../../output/CellFlask/Flask_35_200_2,0.030000,2.000000,0.200000,34.032500,0.055000,0.030000,0.025000
2,../../output/CellFlask/Flask_35_200_4,0.030000,4.000000,0.200000,34.032500,0.085000,0.002500,0.082500
3,../../output/CellFlask/Flask_35_200_6,0.030000,6.000000,0.200000,34.032500,0.085000,0.002500,0.082500
4,../../output/CellFlask/Flask_35_200_8,0.030000,8.000000,0.200000,34.032500,0.090000,0.002500,0.087500
5,../../output/CellFlask/Flask_35_200_10,0.030000,10.000000,0.200000,34.032500,0.407500,0.312500,0.095000
6,../../output/CellFlask/Flask_35_200_12,0.030000,12.000000,0.200000,34.032500,1.490000,1.392500,0.097500
7,../../output/CellFlask/Flask_35_200_14,0.030000,14.000000,0.200000,34.032500,3.262500,3.162500,0.100000
8,../../output/CellFlask/Flask_35_200_16,0.030000,16.000000,0.200000,34.032500,5.640000,5.540000,0.100000
9,../../output/CellFlask/Flask_35_200_18,0.030000,18.000000,0.200000,34.032500,8.655000,8.555000,0.100000
10,../../output/CellFlask/Flask_35_200_20,0.030000,20.000000,0.200000,34.032500,12.212500,12.102500,0.110000
11,../../output/CellFlask/Flask_35_200_22,0.030000,22.000000,0.200000,34.032500,16.002501,15.885000,0.117500
12,../../output/CellFlask/Flask_35_200_24,0.030000,24.000000,0.200000,34.032500,19.582500,19.462500,0.120000
13,../../output/CellFlask/Flask_35_200_26,0.030000,26.000000,0.200000,34.032500,22.650000,22.514999,0.135000
14,../../output/CellFlask/Flask_35_200_28,0.030000,28.000000,0.200000,34.032500,25.127501,24.985001,0.142500
15,../../output/CellFlask/Flask_35_200_30,0.030000,30.000000,0.200000,34.032500,26.982500,26.817499,0.165000
16,../../output/CellFlask/Flask_35_200_32,0.030000,32.000000,0.200000,34.032500,28.442499,28.254999,0.187500
17,../../output/CellFlask/Flask_35_200_34,0.030000,34.000000,0.200000,34.032500,29.647499,29.457500,0.190000
18,../../output/CellFlask/Flask_35_200_36,0.030000,36.000000,0.200000,34.032500,30.552500,30.342501,0.210000
19,../../output/CellFlask/Flask_35_200_38,0.030000,38.000000,0.200000,34.032500,31.219999,30.997499,0.222500
20,../../output/CellFlask/Flask_35_200_40,0.030000,40.000000,0.200000,34.032500,31.815001,31.577499,0.237500
21,../../output/CellFlask/Flask_35_200_42,0.030000,42.000000,0.200000,34.032500,32.209999,31.962500,0.247500
22,../../output/CellFlask/Flask_35_200_44,0.030000,44.000000,0.200000,34.032500,32.605000,32.355000,0.250000
23,../../output/CellFlask/Flask_35_200_46,0.030000,46.000000,0.200000,34.032500,32.855000,32.592499,0.262500
24,../../output/CellFlask/Flask_35_200_48,0.030000,48.000000,0.200000,34.032500,33.127499,32.869999,0.257500
